new entry "Projectile_Jump_Minotaur_Player"
type "SpellData"
data "SpellType" "Projectile"
using "Projectile_Jump_NoFallDamage"
data "Cooldown" "OncePerTurn"
data "SpellProperties" "GROUND:CreateExplosion(Projectile_AiHelper_OffensiveJump)"
data "TargetRadius" "12"
data "AreaRadius" "5"
data "ExplodeRadius" "5"
data "SpellRoll" "not SavingThrow(Ability.Strength, 12)"
data "SpellSuccess" "DealDamage(1d8+1,Bludgeoning);ApplyStatus(PRONE,100,2)"
data "TargetConditions" "not Self() and Enemy()"
data "Template" "e9d5c328-66e8-49f9-8d72-fe3efc118269"
data "DisplayName" "Projectile_Jump_Minotaur_DisplayName"
data "CastEffect" "VFX_Enemies_Jump_Minotaur_Cast_01,Detach:Dummy_Root:Cast:0:None::None::0:0::::"
data "CastTextEvent" "Cast"
data "UseCosts" "Movement:3;BonusActionPoint:1"
data "VerbalIntent" "Damage"
data "SpellFlags" "IsJump;CannotTargetItems;HasHighGroundRangeExtension;IgnoreVisionBlock;IgnoreSilence;RangeIgnoreVerticalThreshold"
data "SpellActionType" "Jump"
data "SpellJumpType" "Pounce"
